cheese_id,name
1,Alpine Lace
2,American - White
3,American - Yellow
4,Appenzeller
5,Asiago
6,Baby Swiss
7,Babybel
8,Bel Paese
9,Bonbel
10,Boursin
11,Brie
12,Burrata
13,Cabecou
14,Caciocavallo
15,Camembert
16,Cheddar - Aged
17,Cheddar - Sharp
18,Cheddar - White
19,Cheddar - Yellow
20,Cheez Whiz
21,Chevre
22,Colby
23,Cottage Cheese
24,Cream Cheese
25,Crema Mexicana
26,Double Gloucester
27,Edam
28,Emmental
29,Feta
30,Fontina
31,Gorgonzola
32,Gouda
33,Gouda - Smoked
34,Gruyere
35,Halloumi
36,Havarti
37,Havarti - Dill
38,Humboldt Fog
39,Jarlsberg
40,Kasseri
41,La Vache Qui Rit
42,Limburger
43,Manchego
44,Mascarpone
45,Maytag Blue
46,Monterey Jack
47,Mozzarella
48,Mozzarella - Smoked
49,Mozzarella di Bufala
50,Muenster
51,Neufchatel
52,Paneer
53,Parmesan
54,Pepper Jack
55,Provolone
56,Quesillo
57,Queso Blanco
58,Queso Fresco
59,Ricotta
60,Ricotta Salata
61,Robiola
62,Romano
63,Roquefort
64,String Cheese
65,Swiss
66,Taleggio
67,Velveeta
68,Wensleydale
69,Yogurt Cheese
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,