meat_id,name
1,Abalone
2,Anchovies - Canned
3,Anchovies - Fresh Cooked
4,Bacon
5,Bockwurst
6,Bologna
7,Braciole
8,Bratwurst
9,Bresaolo
10,Burger - Beef
11,Burger - Turkey
12,Calamari
13,Canadian Bacon
14,Capocollo
15,Cha Lua
16,Chicken - Breaded Cutlet
17,Chicken - Fried
18,Chicken - Grilled
19,Chicken - Poached
20,Chicken - Rotisserie
21,Chicken Liver Pate
22,Chicken Loaf
23,Chicken Salad
24,Chorizo
25,Clams - Fried
26,Conch
27,Corned Beef
28,Cornish Hen
29,Crab - Soft-Shelled
30,Crab Cake
31,Crab Legs
32,Crab Salad
33,Crayfish
34,Doner
35,Duck
36,Egg - Boiled
37,Egg - Fried
38,Egg - Pickled
39,Egg - Poached
40,Egg - Soft Boiled
41,Egg Salad
42,Eggs - Deviled
43,Fish - Fried Fillet
44,Fish Cake
45,Guanciale
46,Ham - Black Forest
47,Ham - Boiled
48,Ham - Deviled
49,Ham - Fresh
50,Ham - Honey
51,Ham - Maple
52,Ham Salad
53,Head Cheese
54,Herring
55,Hot Dog
56,Kielbasa
57,Kippers
58,Knackwurst
59,Lamb Chop
60,Lardo
61,Lardon
62,Liverwurst
63,Lobster
64,Lobster Burger
65,Lobster Salad
66,Loosemeat
67,Meatballs
68,Meatloaf
69,Milanesa
70,Mortadella
71,Mussels
72,Oysters
73,Pancetta
74,Pastrami
75,Pepperoni
76,Pierna
77,Pork Chop
78,Pork Rind
79,Pork Roll
80,Prosciutto
81,Pulled Pork
82,Roast Beef
83,Sable - Smoked
84,Salami
85,Salmon - Gravlax
86,Salmon - Nova Lox
87,Salmon - Smoked
88,Salmon Burger
89,Salmon Salad
90,Sardines - Boneless Skinless
91,Sardines - Brisling
92,Sardines in Olive Oil
93,Sardines in Tomato Sauce
94,Sardines in Water
95,Sausage - Andouille
96,Sausage - Blood
97,Sausage - Boudin
98,Sausage - Breakfast Links
99,Sausage - Breakfast Patty
100,Scalllops
101,Scungilli
102,Shrimp - Grilled
103,Shrimp Burger
104,Shrimp Salad
105,Skirt Steak
106,Smoked Trout
107,Sopressata
108,Spam
109,Speck
110,Steak
111,Taylor Ham
112,Tongue
113,Trout - Smoked
114,Tuna - Seared
115,Tuna Burger
116,Tuna in Olive Oil
117,Tuna in Water
118,Tuna Salad
119,Turkey
120,Turkey - Herbed
121,Turkey - Smoked
122,Turkey Bacon
123,Turkey Loaf
124,Turkey Meatballs
125,Turkey Pastrami
126,Veal
127,Veal Cutlet
128,Weisswurst
129,Whitefish Salad